,Security,Symbol,GICS Sector,GICS Sub Industry
867,Frontier Communications Corporation,FTR,Telecommunication Services,Integrated Telecommunication Services
868,H.B. Fuller Company,FUL,Materials,Specialty Chemicals
869,Fulton Financial Corporation,FULT,Financials,Regional Banks
870,Forward Air Corporation,FWRD,Industrials,Air Freight and Logistics
871,GATX Corp.,GATX,Industrials,Capital Goods
872,"Glacier Bancorp, Inc.",GBCI,Financials,Regional Banks
873,"The Greenbrier Companies, Inc.",GBX,Industrials,Construction Machinery and Heavy Trucks
874,"Gannett Co., Inc.",GCI,Consumer Discretionary,Publishing
875,Genesco Inc.,GCO,Consumer Discretionary,Apparel Retail
876,Green Dot Corporation,GDOT,Financials,Consumer Finance
877,"Greif, Inc.",GEF,Materials,Metal & Glass Containers
878,GEO Group Inc.,GEO,Real Estate,Specialized REITs
879,Geospace Technologies Corporation,GEOS,Energy,Oil and Gas Equipment and Services
880,"Guess?, Inc.",GES,Consumer Discretionary,Apparel Retail
881,Griffon Corporation,GFF,Industrials,Building Products
882,Graco Inc.,GGG,Industrials,Industrial Machinery
883,Graham Holdings Company,GHC,Consumer Discretionary,Education Services
884,"Greenhill & Co., Inc.",GHL,Financials,Investment Banking and Brokerage
885,"Gulf Island Fabrication, Inc.",GIFI,Energy,Oil and Gas Equipment and Services
886,"G-III Apparel Group, Ltd.",GIII,Consumer Discretionary,"Apparel, Accessories and Luxury Goods"
887,P. H. Glatfelter Company,GLT,Materials,Paper Products
888,GameStop Corp.,GME,Consumer Discretionary,Computer & Electronics Retail
889,Globus Medical Inc.,GMED,Health Care,Health Care Equipment
890,"Green Bancorp, Inc.",GNBC,Financials,Regional Banks
891,"Global Net Lease, Inc.",GNL,Real Estate,Diversified REITs
892,Gentex Corp.,GNTX,Consumer Discretionary,Auto Parts & Equipment
893,Genworth Financial,GNW,Financials,Multi-line Insurance
894,Government Properties Income Trust,GOV,Real Estate,Office REITs
895,"Group 1 Automotive, Inc.",GPI,Customer Discretionary,Automotive Retail
896,Gulfport Energy Corp,GPOR,Energy,Oil & Gas Exploration & Production
897,Green Plains Inc.,GPRE,Energy,Oil and Gas Refining and Marketing
898,"Chart Industries, Inc.",GTLS,Industrials,Industrial Machinery
899,Getty Realty Corp.,GTY,Real Estate,Retail REITs
900,Granite Construction Inc.,GVA,Industrials,Construction & Engineering
901,"Great Western Bancorp, Inc.",GWB,Financials,Regional Banks
902,Genesee & Wyoming,GWR,Industrials,Railroads
903,"Hawaiian Holdings, Inc.",HA,Industrials,Airlines
904,Haemonetics,HAE,Health Care,Health Care Supplies
905,Hanmi Financial Corporation,HAFC,Financials,Regional Banks
906,Hain Celestial Group,HAIN,Consumer Staples,Food Products
907,"Haynes International, Inc.",HAYN,Materials,Steel
908,Hancock Holding Company,HBHC,Financials,Regional Banks
909,"HCI Group, Inc.",HCI,Financials,Property and Casualty Insurance
910,Healthcare Services Group,HCSG,Industrials,Diversified Support Services
911,Hawaiian Electric Industries,HE,Utilities,Electric Utilities
912,Helen of Troy Limited,HELE,Consumer Discretionary,Household Appliances
913,"HFF, Inc.",HF,Real Estate,Real Estate Services
914,Heritage Financial Corporation,HFWA,Health Care,Regional Banks
915,"Hillenbrand, Inc.",HI,Industrials,Industrial Machinery
916,"Hibbett Sports, Inc.",HIBB,Consumer Discretionary,Specialty Stores
917,Highwoods Properties,HIW,Real Estate,Office REITs
918,Harmonic Inc.,HLIT,Information Technology,Communications Equipment
919,"Helix Energy Solutions Group, Inc.",HLX,Energy,Oil and Gas Equipment and Services
920,Horace Mann Educators Corporation,HMN,Financials,Multi-line Insurance
921,"HomeStreet, Inc.",HMST,Financials,Thrifts and Mortgage Finance
922,HMS Holdings Corp.,HMSY,Health Care,Health Care Technology
923,HNI Corporation,HNI,Industrials,Office Services & Supplies
924,Home BancShares Inc,HOMB,Financials,Regional Banks
925,"Hope Bancorp, Inc.",HOPE,Financials,Regional Banks
926,HighPoint Resources Corporation,HPR,Energy,Oil and Gas Exploration and Production
927,Hospitality Properties Trust,HPT,Real Estate,Specialized REITs
928,"HealthEquity, Inc.",HQY,Health Care,Managed Healthcare
929,Healthcare Realty Trust,HR,Real Estate,Health Care REITs
930,Hill-Rom Holdings Inc.,HRC,Health Care,Life Sciences Tools & Services
931,Harsco Corporation,HSC,Industrials,Industrial Machinery
932,"Heidrick & Struggles International, Inc.",HSII,Industrials,Human Resource and Employment Services
933,Heska Corporation,HSKA,Health Care,Healthcare Equipment
934,"HealthStream, Inc.",HSTM,Health Care,Health Care Technology
935,Hersha Hospitality Trust,HT,Real Estate,Hotel and Resort REITs
936,"Heartland Express, Inc.",HTLD,Industrials,Trucking
937,Hubbell Incorporated,HUBB,Industrials,Electrical Components and Equipment
938,"Hub Group, Inc.",HUBG,Industrials,Air Freight and Logistics
939,"Haverty Furniture Companies, Inc.",HVT,Consumer Discretionary,Home Furnishing Retail
940,Hancock Whitney Corporation,HWC,Financials,Regional Banks
941,"Hawkins, Inc.",HWKN,Materials,Commodity Chemicals
942,Halyard Health,HYH,Health Care,Health Care Supplies
943,"MarineMax, Inc.",HZO,Consumer Discretionary,Specialty Stores
944,Integra Lifesciences Holdings,IART,Health Care,Health Care Equipment
945,Interactive Brokers,IBKR,Financials,Investment Banking & Brokerage
946,Intl Bancshares Corp,IBOC,Financials,Regional Banks
947,"Installed Building Products, Inc.",IBP,Consumer Discretionary,Homebuilding
948,ICU Medical,ICUI,Health Care,Health Care Supplies
949,Idacorp Inc.,IDA,Utilities,Electric Utilities
950,InterDigital Inc.,IDCC,Information Technology,Communications Equipment
951,Integrated Device Technology,IDTI,Information Technology,Semiconductors
952,IDEX Corp,IEX,Industrials,Industrial Machinery
953,"Insteel Industries, Inc.",IIIN,Industrials,Building Products
954,II-VI Incorporated,IIVI,Information Technology,Electronic Components
955,"ILG, Inc.",ILG,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
956,Independent Bank Corp.,INDB,Financials,Regional Banks
957,"Inogen, Inc.",INGN,Health Care,Healthcare Equipment
958,Ingredion Inc,INGR,Consumer Staples,Food Products
959,"Summit Hotel Properties, Inc.",INN,Real Estate,Hotel and Resort REITs
960,World Fuel Services Corp,INT,Energy,Oil & Gas Refining & Marketing
961,INTL FCStone Inc.,INTL,Financials,Investment Banking and Brokerage
962,"Innoviva, Inc.",INVA,Health Care,Pharmaceuticals
963,Innospec Inc.,IOSP,Materials,Specialty Chemicals
964,"Inter Parfums, Inc.",IPAR,Consumer Staples,Personal Products
965,"Innophos Holdings, Inc.",IPHS,Materials,Specialty Chemicals
966,iRobot Corporation,IRBT,Consumer Discretionary,Household Appliances
967,Iridium Communications Inc.,IRDM,Telecommunication Services,Alternative Carriers
968,"Independence Realty Trust, Inc.",IRT,Real Estate,Residential REITs
969,International Speedway Corporation,ISCA,Consumer Discretionary,Leisure Facilities
970,"Investment Technology Group, Inc.",ITG,Financials,Investment Banking and Brokerage
971,Integer Holdings Corporation,ITGR,Health Care,Healthcare Equipment
972,"Itron, Inc.",ITRI,Information Technology,Electronic Equipment and Instruments
973,ITT Inc,ITT,Industrials,Industrial Machinery
974,Invacare Corporation,IVC,Health Care,Healthcare Equipment
975,Invesco Mortgage Capital Inc.,IVR,Real Estate,Mortgage REITs
976,Jack in the Box Inc.,JACK,Consumer Discretionary,Restaurants
977,JBG Smith Properties,JBGS,Real Estate,Office REITs
978,Jabil Circuit Inc,JBL,Information Technology,Electronic Manufacturing Services
979,Janus Henderson,JHG,Financials,Asset Management & Custody Banks
980,JetBlue Airways Corp,JBLU,Industrials,Airlines
981,"John B. Sanfilippo & Son, Inc.",JBSS,Consumer Staples,Packaged Foods and Meats
982,John Bean Technologies Corporation,JBT,Industrials,Industrial Machinery
983,j2 Global Inc.,JCOM,Information Technology,Internet Software & Services
984,"J. C. Penney Company, Inc.",JCP,Consumer Discretionary,Department Stores
985,Janus Henderson Group plc,JHG,Financials,Asset Management and Custody Banks
986,J&J Snack Foods Corp.,JJSF,Consumer Staples,Packaged Foods and Meats
987,Jack Henry & Associates Inc,JKHY,Information Technology,Data Processing & Outsourced Services
988,Jones Lang Lasalle Inc,JLL,Real Estate,Real Estate Services
989,"James River Group Holdings, Ltd.",JRVR,Financials,Property and Casualty Insurance
990,John Wiley & Sons,JW.A,Consumer Discretionary,Publishing
991,Kaiser Aluminum Corporation,KALU,Materials,Aluminum
992,Kaman Corporation,KAMN,Industrials,Trading Companies and Distributors
993,KB Home,KBH,Consumer Discretionary,Homebuilding
994,KBR Inc,KBR,Industrials,Construction & Engineering
995,Kelly Services Inc,KELYA,Industrials,Human Resource and Employment Services
996,KEMET Corporation,KEM,Information Technology,Electronic Manufacturing Services
997,Kirby Corporation,KEX,Industrials,Marine
998,Keysight Technologies Inc,KEYS,Information Technology,Electronic Equipment & Instruments
999,Korn/Ferry International,KFY,Industrials,Human Resource and Employment Services
1000,"Kirkland's, Inc.",KIRK,Consumer Discretionary,Home Furnishing Retail
1001,"Kulicke and Soffa Industries, Inc.",KLIC,Information Technology,Semiconductor Equipment
1002,KLX Inc,KLXI,Industrials,Aerospace & Defense
1003,Kemper Corporation,KMPR,Financials,Multi-line Insurance
1004,Kennametal Inc,KMT,Industrials,Industrial Machinery
1005,Knowles Corporation,KN,Information Technology,Electronic Components
1006,Knight-Swift,KNX,Industrials,Trucking
1007,Koppers Holdings Inc.,KOP,Materials,Commodity Chemicals
1008,Kopin Corporation,KOPN,Information Technology,Semiconductors
1009,Kraton Corporation,KRA,Materials,Specialty Chemicals
1010,Kilroy Realty Corp,KRC,Real Estate,Office REITs
1011,Kite Realty Group Trust,KRG,Real Estate,Retail REITs
1012,KapStone Paper and Packaging Corporation,KS,Materials,Paper Products
1013,Quaker Chemical Corporation,KWR,Materials,Specialty Chemicals
1014,Multi-Color Corporation,LABL,Industrials,Commercial Printing
1015,"Lithia Motors, Inc.",LAD,Consumer Discretionary,Automotive Retail
1016,Lamar Advertising Company,LAMR,Real Estate,Diversified REITs
1017,Lancaster Colony Corp,LANC,Consumer Staples,Packaged Foods & Meats
1018,"Lannett Company, Inc.",LCI,Health Care,Pharmaceuticals
1019,LCI Industries,LCII,Consumer Discretionary,Auto Parts and Equipment
1020,"Lydall, Inc.",LDL,Industrials,Industrial Machinery
1021,Leidos Holdings Inc,LDOS,Information Technology,IT Consulting & Other Services
1022,Lincoln Electric Holdings Inc,LECO,Industrials,Industrial Machinery
1023,Littelfuse Inc,LFUS,Information Technology,Electronic Components
1024,"LGI Homes, Inc.",LGIH,Consumer Discretionary,Homebuilding
1025,Ligand Pharmaceuticals Incorporated,LGND,Health Care,Biotechnology
1026,"LHC Group, Inc.",LHCG,Health Care,Healthcare Services
1027,LaSalle Hotel Properties,LHO,Real Estate,Hotel & Resort REITs
1028,Lennox International Inc,LII,Industrials,Building Products
1029,Fidelity Southern Corporation,LION,Financials,Regional Banks
1030,Lumentum Holdings,LITE,Information Technology,Communications Equipment
1031,LivaNova,LIVN,Health Care,Health Care Equipment
1032,"LSC Communications, Inc.",LKSD,Industrials,Commercial Printing
1033,"Lumber Liquidators Holdings, Inc.",LL,Consumer Discretionary,Home Improvement Retail
1034,Legg Mason Inc,LM,Financials,Asset Management & Custody Banks
1035,"LeMaitre Vascular, Inc.",LMAT,Health Care,Healthcare Equipment
1036,Luminex Corporation,LMNX,Health Care,Life Sciences Tools and Services
1037,Lindsay Corporation,LNN,Materials,Agricultural and Farm Machinery
1038,"Lantheus Holdings, Inc.",LNTH,Health Care,Healthcare Supplies
1039,"El Pollo Loco Holdings, Inc.",LOCO,Consumer Discretionary,Restaurants
1040,LogMeIn,LOGM,Information Technology,Internet Software & Services
1041,LifePoint Health,LPNT,Health Care,Health Care Facilities
1042,"LivePerson, Inc.",LPSN,Financials,Internet Software and Services
1043,Liberty Property Trust,LPT,Real Estate,Office REITs
1044,Louisiana-Pacific Corp,LPX,Materials,Forest Products
1045,"Liquidity Services, Inc.",LQDT,Financials,Internet Software and Services
1046,Life Storage Inc,LSI,Real Estate,Specialized REITs
1047,Landstar System Inc,LSTR,Industrials,Trucking
1048,"LTC Properties, Inc.",LTC,Real Estate,Healthcare REITs
1049,"LegacyTexas Financial Group, Inc.",LTXB,Financials,Regional Banks
1050,Lamb Weston Holdings Inc,LW,Consumer Staples,Packaged Foods & Meats
1051,Lexington Realty Trust,LXP,Real Estate,Diversified REITs
1052,"LSB Industries, Inc.",LXU,Materials,Diversified Chemicals
1053,Live Nation Entertainment,LYV,Consumer Discretionary,Movies & Entertainment
1054,La-Z-Boy Incorporated,LZB,Consumer Discretionary,Home Furnishings
1055,ManpowerGroup,MAN,Industrials,Human Resource & Employment Services
1056,Manhattan Associates Inc.,MANH,Information Technology,Application Software
1057,ManTech International Corporation,MANT,Information Technology,IT Consulting and Other Services
1058,Masimo,MASI,Health Care,Health Care Equipment
1059,Matthews International Corporation,MATW,Industrials,Diversified Support Services
1060,"Matson, Inc.",MATX,Industrials,Marine
1061,MB Financial Inc.,MBFI,Financials,Regional Banks
1062,"Monarch Casino & Resort, Inc.",MCRI,Consumer Discretionary,Casinos and Gaming
1063,The Marcus Corporation,MCS,Consumer Discretionary,Movies and Entertainment
1064,Mercury General Corp,MCY,Financials,Property & Casualty Insurance
1065,MEDNAX Inc,MD,Health Care,Health Care Services
1066,"M.D.C. Holdings, Inc.",MDC,Consumer Discretionary,Homebuilding
1067,The Medicines Company,MDCO,Health Care,Pharmaceuticals
1068,Meredith Corp,MDP,Consumer Discretionary,Publishing
1069,McDermott International,MDR,Energy,Oil & Gas Equipment & Services
1070,Allscripts Healthcare Solutions Inc,MDRX,Health Care,Healthcare Technology
1071,Medidata Solutions,MDSO,Health Care,Healthcare Technology
1072,MDU Resources Group Inc,MDU,Utilities,Multi-Utilities
1073,"MiMedx Group, Inc.",MDXG,Health Care,Biotechnology
1074,"Medifast, Inc.",MED,Consumer Staples,Personal Products
1075,"Methode Electronics, Inc.",MEI,Information Technology,Electronic Manufacturing Services
1076,"Magellan Health, Inc.",MGLN,Health Care,Managed Healthcare
1077,"MGP Ingredients, Inc.",MGPI,Consumer Staples,Distillers and Vintners
1078,"Maiden Holdings, Ltd.",MHLD,Financials,Reinsurance
1079,"M/I Homes, Inc.",MHO,Consumer Discretionary,Homebuilding
1080,The Michaels Companies Inc,MIK,Consumer Discretionary,Specialty Stores
1081,"Mobile Mini, Inc.",MINI,Industrials,Diversified Support Services
1082,MKS Instruments,MKSI,Information Technology,Semiconductor Equipment
1083,MarketAxess Holdings,MKTX,Financials,Specialized Finance
1084,"Miller, Herman Inc",MLHR,Industrials,Office Services & Supplies
1085,"Mueller Industries, Inc.",MLI,Industrials,Industrial Machinery
1086,Maximus Inc,MMS,Information Technology,Data Processing & Outsourced Services
1087,"Merit Medical Systems, Inc.",MMSI,Health Care,Healthcare Supplies
1088,Mallinckrodt,MNK,Health Care,Pharmaceuticals
1089,"Monro, Inc.",MNRO,Customer Discretionary,Automotive Retail
1090,"Momenta Pharmaceuticals, Inc.",MNTA,Health Care,Biotechnology
1091,Moog Inc.,MOG.A,Industrials,Aerospace and Defense
1092,Molina Healthcare Inc,MOH,Health Care,Managed Health Care
1093,"Movado Group, Inc.",MOV,Consumer Discretionary,"Apparel, Accessories and Luxury Goods"
1094,"Motorcar Parts of America, Inc.",MPAA,Consumer Discretionary,Auto Parts and Equipment
1095,Medical Properties Trust Inc,MPW,Real Estate,Health Care REITs
1096,Monolithic Power Systems Inc,MPWR,Information Technology,Semiconductors
1097,MSA Safety Inc,MSA,Industrials,Office Services & Supplies
1098,MSC Industrial Direct A,MSM,Industrials,Trading Companies & Distributors
1099,MicroStrategy Incorporated,MSTR,Information Technology,Application Software
1100,Matador Resources,MTDR,Energy,Oil & Gas Exploration & Production
1101,Meritage Homes Corporation,MTH,Consumer Discretionary,Homebuilding
1102,Materion Corporation,MTRN,Materials,Diversified Metals and Mining
1103,Matrix Service Company,MTRX,Energy,Oil and Gas Equipment and Services
1104,MTS Systems Corporation,MTSC,Information Technology,Electronic Equipment and Instruments
1105,Minerals Technologies Inc,MTX,Materials,Specialty Chemicals
1106,Murphy Oil,MUR,Energy,Oil & Gas Exploration & Production
1107,Murphy USA Inc,MUSA,Consumer Discretionary,Automotive Retail
1108,"MaxLinear, Inc.",MXL,Information Technology,Semiconductors
1109,"Myers Industries, Inc.",MYE,Materials,Metal and Glass Containers
1110,"Myriad Genetics, Inc.",MYGN,Health Care,Biotechnology
1111,MYR Group Inc.,MYRG,Industrials,Construction and Engineering
1112,Nanometrics Incorporated,NANO,Information Technology,Semiconductor Equipment
1113,National Instruments Corp,NATI,Information Technology,Electronic Equipment Manufacturers
1114,"The Navigators Group, Inc.",NAVG,Financials,Property and Casualty Insurance
1115,Navient Corp.,NAVI,Financials,Consumer Finance
1116,National Bank Holdings Corporation,NBHC,Financials,Regional Banks
1117,Nabors Industries Ltd,NBR,Energy,Oil and Gas Drilling
1118,NBT Bancorp Inc.,NBTB,Financials,Regional Banks
1119,"Navigant Consulting, Inc.",NCI,Industrials,Research and Consulting Services
1120,NCR Corp,NCR,Information Technology,"Technology Hardware, Storage and Peripherals"
1121,Nordson Corp,NDSN,Industrials,Industrial Machinery
1122,Noble Corporation plc,NE,Energy,Oil and Gas Drilling
1123,Neogen Corporation,NEOG,Health Care,Healthcare Supplies
1124,NewMarket Corporation,NEU,Materials,Specialty Chemicals
1125,New Media Investment Group Inc.,NEWM,Consumer Discretionary,Publishing
1126,"Northfield Bancorp, Inc. (Staten Island, NY)",NFBK,Financials,Thrifts and Mortgage Finance
1127,National Fuel Gas,NFG,Utilities,Gas Utilities
1128,Ingevity Corporation,NGVT,Materials,Specialty Chemicals
1129,New Jersey Resources,NJR,Utilities,Gas Utilities
1130,"Nautilus, Inc.",NLS,Consumer Discretionary,Leisure Products
1131,"NMI Holdings, Inc.",NMIH,Financials,Thrifts and Mortgage Finance
1132,National Retail Properties Inc,NNN,Real Estate,Retail REITs
1133,"Neenah, Inc.",NP,Materials,Paper Products
1134,"National Presto Industries, Inc.",NPK,Industrials,Aerospace and Defense
1135,"EnPro Industries, Inc.",NPO,Industrials,Industrial Machinery
1136,"Newpark Resources, Inc.",NR,Energy,Oil and Gas Equipment and Services
1137,National Storage Affiliates Trust,NSA,Real Estate,Specialized REITs
1138,"Insight Enterprises, Inc.",NSIT,Industrials,Technology Distributors
1139,"Insperity, Inc.",NSP,Industrials,Human Resource and Employment Services
1140,NetScout Systems,NTCT,Information Technology,Communications Equipment
1141,"NETGEAR, Inc.",NTGR,Information Technology,Communications Equipment
1142,"Nutrisystem, Inc.",NTRI,Consumer Discretionary,Internet and Direct Marketing Retail
1143,Nu Skin Enterprises,NUS,Consumer Staples,Personal Products
1144,NuVasive Inc,NUVA,Health Care,Health Care Equipment
1145,NVR Inc,NVR,Consumer Discretionary,Homebuilding
1146,nVent Electric plc,NVT,Industrials,Electrical Components & Equipment
1147,"Northwest Bancshares, Inc.",NWBI,Financials,Thrifts and Mortgage Finance
1148,NorthWestern Corporation,NWE,Utilities,Multi-Utilities
1149,Northwest Natural Gas Company,NWN,Utilities,Gas Utilities
1150,Quanex Building Products Corporation,NX,Industrials,Building Products
1151,New York Community Bancorp Inc,NYCB,Financials,Thrifts & Mortgage Finance
1152,"New York Mortgage Trust, Inc.",NYMT,Real Estate,Mortgage REITs
1153,New York Times Company,NYT,Consumer Discretionary,Publishing
1154,Oasis Petroleum,OAS,Energy,Oil & Gas Exploration & Production
1155,"Oclaro, Inc.",OCLR,Information Technology,Communications Equipment
1156,Old Dominion Freight Line,ODFL,Industrials,Trucking
1157,Office Depot Inc,ODP,Consumer Discretionary,Specialty Stores
1158,Corporate Office Properties Trust,OFC,Real Estate,Office REITs
1159,OFG Bancorp,OFG,Financials,Regional Banks
1160,Orthofix Medical Inc.,OFIX,Health Care,Healthcare Equipment
1161,OGE Energy Corp,OGE,Utilities,Multi-Utilities
1162,ONE Gas,OGS,Utilities,Gas Utilities
1163,Omega Healthcare Investors,OHI,Real Estate,Specialized REITs
1164,Oceaneering Intl Inc,OII,Energy,Oil & Gas Equipment & Services
1165,Ollie's Bargain Outlet,OLLI,Consumer Discretionary,General Merchandise Stores
1166,Olin Corp.,OLN,Materials,Diversified Chemicals
1167,Owens-Illinois,OI,Materials,Metal & Glass Containers
1168,"Oceaneering International, Inc.",OII,Energy,Oil and Gas Equipment and Services
1169,"Oil States International, Inc.",OIS,Energy,Oil and Gas Equipment and Services
1170,"Ollie's Bargain Outlet Holdings, Inc.",OLLI,Consumer Discretionary,General Merchandise Stores
1171,Olin Corporation,OLN,Materials,Commodity Chemicals
1172,"Omnicell, Inc.",OMCL,Health Care,Health Care Technology
1173,"Owens & Minor, Inc.",OMI,Health Care,Healthcare Distributors
1174,Old National Bancorp,ONB,Financials,Regional Banks
1175,Opus Bank,OPB,Financials,Regional Banks
1176,Old Republic International,ORI,Financials,Property & Casualty Insurance
1177,Oritani Financial Corp.,ORIT,Financials,Thrifts and Mortgage Finance
1178,"Orion Group Holdings, Inc.",ORN,Industrials,Construction and Engineering
1179,"OSI Systems, Inc.",OSIS,Information Technology,Electronic Equipment and Instruments
1180,Oshkosh Corporation,OSK,Industrials,Construction & Farm Machinery & Heavy Trucks
1181,OneSpan Inc.,OSPN,Information Technology,Systems Software
1182,"OraSure Technologies, Inc.",OSUR,Health Care,Healthcare Supplies
1183,"Oxford Industries, Inc.",OXM,Consumer Discretionary,"Apparel, Accessories and Luxury Goods"
1184,Bank OZK,OZK,Financials,Regional Banks
1185,PacWest Bancorp,PACW,Financials,Regional Banks
1186,Phibro Animal Health Corporation,PAHC,Health Care,Pharmaceuticals
1187,"Par Pacific Holdings, Inc.",PARR,Energy,Oil and Gas Refining and Marketing
1188,"Patrick Industries, Inc.",PATK,Industrials,Building Products
1189,"Prosperity Bancshares, Inc.",PB,Financials,Regional Banks
1190,PBF Energy Inc,PBF,Energy,Oil & Gas Refining & Marketing
1191,Verifone,PAY,Information Technology,IT Services
1192,Prosperity Bancshares Inc,PB,Financials,Regional Banks
1193,Prestige Brands Holdings Inc,PBH,Health Care,Pharmaceuticals
1194,Pitney Bowes,PBI,Industrials,Office Services & Supplies
1195,Potlatch Corp,PCH,Real Estate,Specialized REITs
1196,"PDC Energy, Inc.",PDCE,Energy,Oil and Gas Exploration and Production
1197,Patterson Companies,PDCO,Health Care,Health Care Distributors
1198,"PDF Solutions, Inc.",PDFS,Information Technology,Semiconductor Equipment
1199,Pennsylvania Real Estate Investment Trust,PEI,Real Estate,Retail REITs
1200,"Penn National Gaming, Inc.",PENN,Consumer Discretionary,Casinos and Gaming
1201,"Perry Ellis International, Inc.",PERY,Consumer Discretionary,"Apparel, Accessories and Luxury Goods"
1202,Pioneer Energy Services Corp.,PES,Energy,Oil and Gas Drilling
1203,"PetMed Express, Inc.",PETS,Consumer Discretionary,Internet and Direct Marketing Retail
1204,Preferred Bank,PFBC,Financials,Regional Banks
1205,"Provident Financial Services, Inc.",PFS,Financials,Thrifts and Mortgage Finance
1206,"Progenics Pharmaceuticals, Inc.",PGNX,Health Care,Biotechnology
1207,"PGT Innovations, Inc.",PGTI,Industrials,Building Products
1208,Polaris Industries Inc,PII,Consumer Discretionary,Leisure Products
1209,Piper Jaffray Companies,PJC,Financials,Investment Banking and Brokerage
1210,Park Electrochemical Corp.,PKE,Information Technology,Electronic Manufacturing Services
1211,"Photronics, Inc.",PLAB,Information Technology,Semiconductor Equipment
1212,"Dave & Buster's Entertainment, Inc.",PLAY,Consumer Discretionary,Restaurants
1213,"The Children's Place, Inc.",PLCE,Consumer Discretionary,Apparel Retail
1214,Plantronics Inc,PLT,Information Technology,Communications Equipment
1215,ePlus inc.,PLUS,Information Technology,Technology Distributors
1216,Plexus Corp.,PLXS,Information Technology,Electronic Manufacturing Services
1217,PennyMac Mortgage Investment Trust,PMT,Real Estate,Mortgage REITs
1218,Pinnacle Financial Partners,PNFP,Financials,Regional Banks
1219,PNM Resources,PNM,Utilities,Electric Utilities
1220,PolyOne Corp,POL,Materials,Specialty Chemicals
1221,Pool Corp,POOL,Consumer Discretionary,Distributors
1222,Post Holdings Inc,POST,Consumer Staples,Food Products
1223,"Power Integrations, Inc.",POWI,Information Technology,Semiconductors
1224,"Powell Industries, Inc.",POWL,Information Technology,Electrical Components and Equipment
1225,"Pacific Premier Bancorp, Inc.",PPBI,Financials,Regional Banks
1226,ProAssurance Corporation,PRA,Financials,Property and Casualty Insurance
1227,"PRA Group, Inc.",PRAA,Financials,Consumer Finance
1228,PRA Health Sciences,PRAH,Health Care,Life Sciences Tools & Services
1229,"Perficient, Inc.",PRFT,Information Technology,IT Consulting and Other Services
1230,Progress Software Corporation,PRGS,Information Technology,Systems Software
1231,Primerica Inc,PRI,Financials,Life & Health Insurance
1232,"Proto Labs, Inc.",PRLB,Industrials,Industrial Machinery
1233,The Providence Service Corporation,PRSC,Health Care,Healthcare Services
1234,Perspecta Inc.,PRSP,Information Technology,IT Consulting and Other Services
1235,"PS Business Parks, Inc.",PSB,Real Estate,Diversified REITs
1236,PTC Inc,PTC,Information Technology,Application Software
1237,Patterson-UTI Energy,PTEN,Energy,Oil & Gas Drilling
1238,ProPetro Holding Corp.,PUMP,Energy,Oil and Gas Equipment and Services
1239,Penn Virginia Corporation,PVAC,Energy,Oil and Gas Exploration and Production
1240,Papa John’s International Inc,PZZA,Consumer Discretionary,Restaurants
1241,QEP Resources Inc,QEP,Energy,Oil & Gas Exploration & Production
1242,Quorum Health Corporation,QHC,Health Care,Healthcare Facilities
1243,"Qualys, Inc.",QLYS,Information Technology,Systems Software
1244,"QuinStreet, Inc.",QNST,Information Technology,Internet Software and Services
1245,Ryder System,R,Industrials,Trucking
1246,"Raven Industries, Inc.",RAVN,Industrials,Industrial Conglomerates
1247,Regal Beloit Corp,RBC,Industrials,Electrical Components & Equipment
1248,"Rent-A-Center, Inc.",RCII,Consumer Discretionary,Computer and Electronics Retail
1249,"Resources Connection, Inc.",RECN,Industrials,Research and Consulting Services
1250,"Renewable Energy Group, Inc.",REGI,Energy,Oil and Gas Refining and Marketing
1251,"Ring Energy, Inc.",REI,Energy,Oil and Gas Exploration and Production
1252,REX American Resources Corporation,REX,Energy,Oil and Gas Refining and Marketing
1253,Reinsurance Group of America,RGA,Financials,Reinsurance
1254,Repligen Corporation,RGEN,Health Care,Biotechnology
1255,Royal Gold Inc,RGLD,Materials,Gold
1256,REGENXBIO Inc.,RGNX,Health Care,Biotechnology
1257,"Sturm, Ruger & Company, Inc.",RGR,Consumer Discretionary,Leisure Products
1258,Regis Corporation,RGS,Consumer Discretionary,Specialized Consumer Services
1259,RH,RH,Consumer Discretionary,Home Furnishing Retail
1260,Transocean,RIG,Energy,Oil & Gas Drilling
1261,RLI Corp.,RLI,Financials,Property and Casualty Insurance
1262,"RE/MAX Holdings, Inc.",RMAX,Real Estate,Real Estate Services
1263,Rambus Inc.,RMBS,Information Technology,Semiconductors
1264,RenaissanceRe Holdings Ltd,RNR,Financials,Reinsurance
1265,"Gibraltar Industries, Inc.",ROCK,Industrials,Building Products
1266,Rogers Corporation,ROG,Information Technology,Electronic Components
1267,Retail Opportunity Investments Corp.,ROIC,Real Estate,Retail REITs
1268,Rollins Inc.,ROL,Industrials,Environmental & Facilities Services
1269,RPM International Inc,RPM,Materials,Specialty Chemicals
1270,Ramco-Gershenson Properties Trust,RPT,Real Estate,Retail REITs
1271,Range Resources,RRC,Energy,Oil & Gas Exploration & Production
1272,R.R. Donnelley & Sons Company,RRD,Industrials,Commercial Printing
1273,"Red Robin Gourmet Burgers, Inc.",RRGB,Consumer Discretionary,Restaurants
1274,Reliance Steel & Aluminum Co.,RS,Materials,Steel
1275,"Rudolph Technologies, Inc.",RTEC,Information Technology,Semiconductor Equipment
